Product Name,Product Price,Product Picture URL,Flipkart URL
"DELL KM3322W Keyboard & Mouse Combo, Anti-fade & Spill-resistant Keys Wireless Multi-device Keyboard","₹1,298",https://rukminim2.flixcart.com/image/612/612/kzzw5u80/keyboard/multi-device-keyboard/o/2/d/km3322w-km3322w-keyboard-mouse-combo-anti-fade-spill-resistant-original-imagbvyatqteauf2.jpeg?q=70 ,https://www.flipkart.com/dell-km3322w-keyboard-mouse-combo-anti-fade-spill-resistant-keys-wireless-multi-device/p/itmb4f7371aa5ec3?pid=ACCGBUKRBTBXYZJP&lid=LSTACCGBUKRBTBXYZJP2KVRHN&marketplace=FLIPKART&q=kreo+keyboard&store=6bo&srno=s_1_1&otracker=search&otracker1=search&iid=en_I-an4rjr5doT7p8fUuWEzGXK67Q4pm2IoV3QBw1ZxO46fKym4mkCVNMSWQbk2RLKMonSv2e0Bos-08hdBN3ocfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=q03m3zcntc0000001705526926261&qH=67316c77100c0cf8
HP 150 Wired Wired USB Desktop Keyboard,₹595,https://rukminim2.flixcart.com/image/612/612/xif0q/keyboard/desktop-keyboard/3/c/1/150-hp-original-imaghydff9ttwzex.jpeg?q=70 ,https://www.flipkart.com/hp-150-wired-usb-desktop-keyboard/p/itm0bc16070f9073?pid=ACCGGG38JFZGEAFX&lid=LSTACCGGG38JFZGEAFX7JQPOV&marketplace=FLIPKART&q=kreo+keyboard&store=6bo&srno=s_1_2&otracker=search&otracker1=search&iid=en_I-an4rjr5doT7p8fUuWEzGXK67Q4pm2IoV3QBw1ZxO4TzXcdPcK6-6Y5rFoYQHyaqG9oGVNnpyM2ZsJcyDtN-w%3D%3D&ssid=q03m3zcntc0000001705526926261&qH=67316c77100c0cf8
"Kreo Hive OG Gaming Mechanical Keyboard Backlit Keyboards, Braided Cable Led Keyboard Wired USB Gaming Keyboard","₹2,800",https://rukminim2.flixcart.com/image/612/612/xif0q/keyboard/gaming-keyboard/d/d/0/hive-og-gaming-mechanical-keyboard-backlit-keyboards-braided-original-imagvfunv3gbqrtt.jpeg?q=70 ,https://www.flipkart.com/kreo-hive-og-gaming-mechanical-keyboard-backlit-keyboards-braided-cable-led-wired-usb/p/itm41557012e33ff?pid=ACCGVFUZHGVC9FZD&lid=LSTACCGVFUZHGVC9FZDSDDWG1&marketplace=FLIPKART&q=kreo+keyboard&store=6bo&srno=s_1_3&otracker=search&otracker1=search&iid=05fcf7e2-c63c-4e8b-9bad-25c9f4688476.ACCGVFUZHGVC9FZD.SEARCH&ssid=q03m3zcntc0000001705526926261&qH=67316c77100c0cf8
"Kreo Hive OG Gaming Mechanical Keyboard Backlit Keyboards, Braided Cable Led Keyboard Wired USB Gaming Keyboard","₹2,999",https://rukminim2.flixcart.com/image/612/612/xif0q/keyboard/gaming-keyboard/8/v/j/hive-og-gaming-mechanical-keyboard-backlit-keyboards-braided-original-imagrv4c3tfd5ucs.jpeg?q=70 ,https://www.flipkart.com/kreo-hive-og-gaming-mechanical-keyboard-backlit-keyboards-braided-cable-led-wired-usb/p/itm41557012e33ff?pid=ACCGRYDFEECWGCYN&lid=LSTACCGRYDFEECWGCYNXHGS6S&marketplace=FLIPKART&q=kreo+keyboard&store=6bo&srno=s_1_4&otracker=search&otracker1=search&iid=05fcf7e2-c63c-4e8b-9bad-25c9f4688476.ACCGRYDFEECWGCYN.SEARCH&ssid=q03m3zcntc0000001705526926261&qH=67316c77100c0cf8
"Kreo Hive OG Gaming Mechanical Keyboard Backlit Keyboards, Braided Cable Led Keyboard Wired USB Gaming Keyboard","₹3,399",https://rukminim2.flixcart.com/image/612/612/xif0q/keyboard/gaming-keyboard/y/c/a/hive-og-gaming-mechanical-keyboard-backlit-keyboards-braided-original-imagvftmsqskb3mp.jpeg?q=70 ,https://www.flipkart.com/kreo-hive-og-gaming-mechanical-keyboard-backlit-keyboards-braided-cable-led-wired-usb/p/itm41557012e33ff?pid=ACCGVFTMFFKNGANM&lid=LSTACCGVFTMFFKNGANMO1OPIE&marketplace=FLIPKART&q=kreo+keyboard&store=6bo&srno=s_1_5&otracker=search&otracker1=search&iid=05fcf7e2-c63c-4e8b-9bad-25c9f4688476.ACCGVFTMFFKNGANM.SEARCH&ssid=q03m3zcntc0000001705526926261&qH=67316c77100c0cf8
"Kreo Hive OG Gaming Mechanical Keyboard Backlit Keyboards, Braided Cable Led Keyboard Wired USB Gaming Keyboard","₹2,990",https://rukminim2.flixcart.com/image/612/612/xif0q/keyboard/gaming-keyboard/g/o/b/hive-og-gaming-mechanical-keyboard-backlit-keyboards-braided-original-imagvyrhjg37qqzm.jpeg?q=70 ,https://www.flipkart.com/kreo-hive-og-gaming-mechanical-keyboard-backlit-keyboards-braided-cable-led-wired-usb/p/itm41557012e33ff?pid=ACCGVYRZYY6ZHVGW&lid=LSTACCGVYRZYY6ZHVGWNPIUUQ&marketplace=FLIPKART&q=kreo+keyboard&store=6bo&srno=s_1_6&otracker=search&otracker1=search&iid=05fcf7e2-c63c-4e8b-9bad-25c9f4688476.ACCGVYRZYY6ZHVGW.SEARCH&ssid=q03m3zcntc0000001705526926261&qH=67316c77100c0cf8
DELL KB 216 Wired USB Desktop Keyboard,₹519,https://rukminim2.flixcart.com/image/612/612/k3g73bk0/keyboard/desktop-keyboard/e/y/q/dell-kb-216-original-imaf8qpmu8zmqm9f.jpeg?q=70 ,https://www.flipkart.com/dell-kb-216-wired-usb-desktop-keyboard/p/itmehdyaydrcbgav?pid=ACCEHDYAKFAJ7EYQ&lid=LSTACCEHDYAKFAJ7EYQLSSSIT&marketplace=FLIPKART&q=kreo+keyboard&store=6bo&srno=s_1_7&otracker=search&otracker1=search&iid=en_I-an4rjr5doT7p8fUuWEzGXK67Q4pm2IoV3QBw1ZxO5lta_VENhozPZvj4TwSgTb7ftjiYJkVja9ir1XOdJUlUhz9c-MSIoFe8xMxkfU6dM%3D&ssid=q03m3zcntc0000001705526926261&qH=67316c77100c0cf8
KITECH KB-011 Wired USB Multi-device Keyboard,₹269,https://rukminim2.flixcart.com/image/612/612/xif0q/keyboard/multi-device-keyboard/c/j/l/kb-011-kitech-original-imagnfszd2qdvzwb.jpeg?q=70 ,https://www.flipkart.com/kitech-kb-011-wired-usb-multi-device-keyboard/p/itmd93912a8d78b4?pid=ACCGKX87YGZSYVPP&lid=LSTACCGKX87YGZSYVPPTATFTJ&marketplace=FLIPKART&q=kreo+keyboard&store=6bo&srno=s_1_8&otracker=search&otracker1=search&iid=en_I-an4rjr5doT7p8fUuWEzGXK67Q4pm2IoV3QBw1ZxO58X6JxgPQJWs5fZ27bh4-ZximHGomFYwz-ux_8uyF5kA%3D%3D&ssid=q03m3zcntc0000001705526926261&qH=67316c77100c0cf8
"Kreo Hive RGB Gaming Mechanical Keyboard, RGB Keyboards, Braided Cable, Led Keyboard Wired USB Gaming Keyboard","₹3,440",https://rukminim2.flixcart.com/image/612/612/xif0q/keyboard/gaming-keyboard/5/x/y/hive-rgb-gaming-mechanical-keyboard-rgb-keyboards-braided-cable-original-imagrv4fp48zycxx.jpeg?q=70 ,https://www.flipkart.com/kreo-hive-rgb-gaming-mechanical-keyboard-keyboards-braided-cable-led-keyboard-wired-usb/p/itm1c2188a108bde?pid=ACCGRYCKFVDGN4UV&lid=LSTACCGRYCKFVDGN4UVCJMNOR&marketplace=FLIPKART&q=kreo+keyboard&store=6bo&srno=s_1_9&otracker=search&otracker1=search&iid=05fcf7e2-c63c-4e8b-9bad-25c9f4688476.ACCGRYCKFVDGN4UV.SEARCH&ssid=q03m3zcntc0000001705526926261&qH=67316c77100c0cf8
"Kreo Hive RGB Gaming Mechanical Keyboard, RGB Keyboards, Braided Cable, led keyboard Wired USB Gaming Keyboard","₹3,440",https://rukminim2.flixcart.com/image/612/612/xif0q/keyboard/gaming-keyboard/t/k/n/hive-rgb-gaming-mechanical-keyboard-rgb-keyboards-braided-cable-original-imagvft5tcmfactx.jpeg?q=70 ,https://www.flipkart.com/kreo-hive-rgb-gaming-mechanical-keyboard-keyboards-braided-cable-led-keyboard-wired-usb/p/itm1c2188a108bde?pid=ACCGVFT55K88W37N&lid=LSTACCGVFT55K88W37NWXIWRT&marketplace=FLIPKART&q=kreo+keyboard&store=6bo&srno=s_1_10&otracker=search&otracker1=search&iid=05fcf7e2-c63c-4e8b-9bad-25c9f4688476.ACCGVFT55K88W37N.SEARCH&ssid=q03m3zcntc0000001705526926261&qH=67316c77100c0cf8
"Logitech MK215 Mouse & Keyboard Combo, Compact Design Wireless Laptop Keyboard","₹1,195",https://rukminim2.flixcart.com/image/612/612/ju8oxow0/keyboard-refurbished/p/z/n/c-mk-215-mouse-combo-logitech-original-imaf8grtb7drwq7x.jpeg?q=70 ,https://www.flipkart.com/logitech-mk215-mouse-keyboard-combo-compact-design-wireless-laptop/p/itm3b3d807f7d0ee?pid=ACCE7H644HBKHWG6&lid=LSTACCE7H644HBKHWG6ZNZBKV&marketplace=FLIPKART&q=kreo+keyboard&store=6bo&srno=s_1_11&otracker=search&otracker1=search&iid=en_I-an4rjr5doT7p8fUuWEzGXK67Q4pm2IoV3QBw1ZxO5zb0wzQD_kp6E0Afp7me0YZxFfRhWPLvbdCdDMFhTsivKSJvID5C-RdFfAlzwDiqI%3D&ssid=q03m3zcntc0000001705526926261&qH=67316c77100c0cf8
